dagN24.txt 3_2x1.txt True 0.14495798319327732 0.6 1015.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagN24.txt 3_2x1.txt True 0.11134453781512606 0.7 991.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagN24.txt 3_2x1.txt True 0.20378151260504201 1 944.0 [1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagN24.txt 3_2x4.txt True 0.05042016806722689 0.07 1099.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 7, 3, 3, 3, 3, 3, 7, 3, 3, 7, 7] 
dagN24.txt 3_2x4.txt True 0.05042016806722689 0.08 1099.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 7, 3, 3, 3, 3, 3, 7, 3, 3, 7, 7] 
dagN24.txt 3_2x4.txt True 0.07352941176470588 0.09 1030.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 1, 7, 7, 7, 3, 3, 7, 7, 7, 3, 7, 3, 1, 3, 3, 7, 3, 7, 3, 3, 7, 7, 3, 3] 
dagN24.txt 3_2x4.txt True 0.0546218487394958 0.1 1064.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 3, 7, 0, 7, 0, 3, 3, 7, 7, 7, 0, 7, 3, 7, 0] 
dagN24.txt 3_2x4.txt True 0.0546218487394958 0.11 1064.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 3, 7, 0, 7, 0, 3, 3, 7, 7, 7, 0, 7, 3, 7, 0] 
dagN24.txt 3_2x4.txt True 0.0546218487394958 0.12 1064.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 3, 7, 0, 7, 0, 3, 3, 7, 7, 7, 0, 7, 3, 7, 0] 
dagN24.txt 3_2x4.txt True 0.0546218487394958 0.13 1064.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 3, 7, 0, 7, 0, 3, 3, 7, 7, 7, 0, 7, 3, 7, 0] 
dagN24.txt 3_2x4.txt True 0.10294117647058823 0.14 978.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1, 1, 1, 3, 3, 1, 2, 2, 1, 3, 2, 2, 3, 1, 1, 2, 2, 3, 3, 1, 2] 
dagN24.txt 3_2x4.txt True 0.10294117647058823 0.15 978.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1, 1, 1, 3, 3, 1, 2, 2, 1, 3, 2, 2, 3, 1, 1, 2, 2, 3, 3, 1, 2] 
dagN24.txt 3_2x4.txt True 0.10294117647058823 0.16 978.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1, 1, 1, 3, 3, 1, 2, 2, 1, 3, 2, 2, 3, 1, 1, 2, 2, 3, 3, 1, 2] 
dagN24.txt 3_2x4.txt True 0.10294117647058823 0.17 978.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1, 1, 1, 3, 3, 1, 2, 2, 1, 3, 2, 2, 3, 1, 1, 2, 2, 3, 3, 1, 2] 
dagN24.txt 3_2x4.txt True 0.14915966386554622 0.18 915.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 7, 7, 1, 7, 7, 7, 7, 1, 0, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 1, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 3, 7, 3, 2, 7, 7, 2, 3, 7, 3, 7, 7, 7, 7, 2, 7, 2, 7, 7, 3, 7, 3, 2, 7, 7, 7, 7, 7, 2, 7, 7, 3, 2] 
dagN24.txt 3_2x4.txt True 0.14915966386554622 0.19 915.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 7, 7, 1, 7, 7, 7, 7, 1, 0, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 1, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 3, 7, 3, 2, 7, 7, 2, 3, 7, 3, 7, 7, 7, 7, 2, 7, 2, 7, 7, 3, 7, 3, 2, 7, 7, 7, 7, 7, 2, 7, 7, 3, 2] 
dagN24.txt 3_2x4.txt True 0.14495798319327732 0.2 908.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 3, 7, 7, 7, 2, 7, 7, 3, 3, 2, 7, 0, 2, 7, 0, 3, 0, 0, 0, 0, 7, 0, 0, 2, 0, 7, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.25 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.3 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.35 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.4 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.45 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.16596638655462184 0.5 829.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 1, 7, 7, 7, 7, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 7, 0, 1, 3, 0, 3, 7, 3, 3, 0, 1, 0, 2, 7, 2, 2, 2, 0, 3, 2, 2, 1, 2, 0, 3, 2, 0, 2, 2, 2, 3, 0, 0, 2, 2] 
dagN24.txt 3_2x4.txt True 0.3634453781512605 0.55 280.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 6, 6, 7, 4, 7, 7, 6, 4, 7, 7, 7, 7, 5, 7, 7, 4, 7, 6, 7, 5, 4, 4, 7, 7, 3, 7, 5, 7, 5, 4, 4, 3, 5, 5, 7, 5, 5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 5, 5, 1, 4, 3, 5, 5, 1, 5, 3, 3, 1, 0, 1, 3, 1, 1, 3, 0, 1, 1, 3, 5, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 5, 5, 3, 1, 1, 1, 0, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 5, 3, 3, 0, 5, 5, 3, 2, 3, 3, 3, 5, 2, 5, 3, 3, 3, 2, 5, 5, 3, 2] 
dagN24.txt 3_2x4.txt True 0.49159663865546216 0.6 283.0 [1, 7, 7, 7, 4, 1, 7, 7, 7, 1, 1, 1, 7, 7, 7, 7, 4, 1, 7, 7, 7, 7, 7, 3, 7, 1, 7, 3, 3, 6, 1, 1, 4, 3, 3, 7, 3, 7, 1, 5, 3, 6, 3, 3, 1, 3, 5, 3, 5, 3, 6, 1, 5, 5, 3, 1, 5, 5, 5, 1, 3, 3, 5, 5, 5, 5, 5, 5, 3, 6, 5, 5, 5, 2, 4, 3, 5, 3, 3, 3, 3, 6, 3, 3, 4, 3, 2, 5, 3, 3, 3, 2, 5, 3, 7, 7, 2, 6, 3, 3, 7, 7, 2, 3, 7, 2, 7, 1, 1, 7, 3, 3, 2, 2, 0, 7, 1, 7, 1, 1, 1, 7, 7, 1, 3, 3, 1, 1, 3, 5, 3, 1, 1, 3, 5, 1, 5, 5, 1, 5, 5, 0, 5, 3, 2, 5, 1, 0, 5, 3, 5, 0, 1, 5, 5, 3, 1, 0, 0, 0] 
dagN24.txt 3_2x4.txt True 0.45588235294117646 0.65 250.75 [7, 7, 7, 7, 2, 7, 2, 3, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 2, 3, 3, 3, 3, 3, 7, 3, 1, 3, 3, 3, 1, 1, 3, 3, 6, 3, 3, 3, 1, 1, 1, 3, 3, 5, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 1, 5, 5, 5, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 6, 6, 5, 1, 1, 0, 5, 5, 6, 7, 5, 3, 7, 6, 1, 3, 3, 7, 6, 5, 7, 5, 5, 5, 7, 7, 7, 7, 7, 5, 7, 7, 1, 3, 1, 5, 5, 5, 7, 1, 7, 5, 7, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 7, 5, 3, 5, 5, 5, 5, 3, 7, 3, 3, 5, 3, 3, 4, 1, 5, 3, 1, 7, 4, 3, 5, 4, 1, 4, 3, 3, 5, 1, 1, 4, 4] 
dagN24.txt 3_2x4.txt True 0.4684873949579832 0.7 289.75 [3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 7, 3, 2, 7, 2, 3, 3, 7, 2, 3, 3, 1, 1, 3, 7, 7, 7, 7, 7, 1, 7, 3, 7, 7, 7, 0, 3, 3, 7, 2, 1, 0, 7, 4, 0, 7, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 5, 2, 0, 1, 5, 5, 5, 4, 0, 0, 1, 4, 5, 5, 1, 1, 5, 1, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 6, 7, 1, 1, 5, 5, 5, 4, 1, 1, 1, 7, 1, 7, 6, 1, 1, 6, 5, 7, 7, 7, 1, 1, 1, 7, 7, 6, 1, 7, 7, 7, 7, 6, 7, 7, 6, 1, 7, 6, 7, 7, 7, 7] 
