dagM12.txt 3_2x1.txt True 0.1565217391304348 0.7 890.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1] 
dagM12.txt 3_2x1.txt True 0.17173913043478262 1 961.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagM12.txt 3_2x4.txt True 0.0391304347826087 0.07 1051.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 6, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 6, 3] 
dagM12.txt 3_2x4.txt True 0.06521739130434782 0.08 1010.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3] 
dagM12.txt 3_2x4.txt True 0.06521739130434782 0.09 1010.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3] 
dagM12.txt 3_2x4.txt True 0.06521739130434782 0.1 1010.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3] 
dagM12.txt 3_2x4.txt True 0.06521739130434782 0.11 1010.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3] 
dagM12.txt 3_2x4.txt True 0.10217391304347827 0.12 995.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 1, 7, 7, 7, 7, 7, 3, 7, 1, 7, 3, 3, 3, 7, 3, 1, 1, 7, 3, 1, 7] 
dagM12.txt 3_2x4.txt True 0.10217391304347827 0.13 995.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 1, 7, 7, 7, 7, 7, 3, 7, 1, 7, 3, 3, 3, 7, 3, 1, 1, 7, 3, 1, 7] 
dagM12.txt 3_2x4.txt True 0.10217391304347827 0.14 995.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 1, 7, 7, 7, 7, 7, 3, 7, 1, 7, 3, 3, 3, 7, 3, 1, 1, 7, 3, 1, 7] 
dagM12.txt 3_2x4.txt True 0.10217391304347827 0.15 995.0 [7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 1, 7, 7, 7, 7, 7, 3, 7, 1, 7, 3, 3, 3, 7, 3, 1, 1, 7, 3, 1, 7] 
dagM12.txt 3_2x4.txt True 0.1282608695652174 0.16 921.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 2, 7, 7, 1, 7, 7, 2, 7, 7, 3, 0, 1, 2, 3, 1, 1, 0, 7, 3, 1, 2, 7, 1, 1, 2, 1, 2, 2, 0, 1, 3, 2, 3] 
dagM12.txt 3_2x4.txt True 0.1282608695652174 0.17 921.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 2, 7, 7, 1, 7, 7, 2, 7, 7, 3, 0, 1, 2, 3, 1, 1, 0, 7, 3, 1, 2, 7, 1, 1, 2, 1, 2, 2, 0, 1, 3, 2, 3] 
dagM12.txt 3_2x4.txt True 0.1282608695652174 0.18 921.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 2, 7, 7, 1, 7, 7, 2, 7, 7, 3, 0, 1, 2, 3, 1, 1, 0, 7, 3, 1, 2, 7, 1, 1, 2, 1, 2, 2, 0, 1, 3, 2, 3] 
dagM12.txt 3_2x4.txt True 0.15 0.19 916.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 3, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 1, 7, 7, 7, 7, 7, 2, 7, 7, 3, 7, 7, 1, 3, 7, 7, 7, 7, 3, 1, 1, 7, 7, 7, 2, 7, 2, 1, 1, 3, 2, 1, 3] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.2 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.25 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.3 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.35 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.4 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.15434782608695652 0.45 918.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 1, 2, 7, 7, 0, 7, 7, 7, 7, 1, 2, 7, 1, 7, 7, 2, 0, 7, 2, 0, 7, 7, 7, 7, 0, 7, 2, 2, 7, 2, 1, 0, 2, 7, 1, 0, 7] 
dagM12.txt 3_2x4.txt True 0.4391304347826087 0.5 322.25 [5, 1, 1, 7, 7, 1, 1, 1, 7, 1, 6, 7, 1, 1, 7, 6, 5, 7, 5, 7, 7, 1, 1, 6, 1, 7, 5, 7, 7, 4, 3, 1, 7, 7, 6, 6, 7, 3, 3, 7, 3, 7, 3, 7, 7, 6, 3, 3, 7, 5, 4, 3, 5, 5, 6, 3, 3, 1, 3, 3, 3, 3, 1, 5, 5, 3, 5, 3, 1, 5, 5, 5, 1, 1, 5, 1, 3, 1, 1, 5, 5, 1, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 5, 1, 5, 5, 1, 5, 5, 1, 3, 5, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 0, 2] 
dagM12.txt 3_2x4.txt True 0.45 0.55 300.25 [5, 3, 5, 1, 5, 1, 3, 4, 3, 5, 5, 1, 4, 5, 5, 4, 3, 1, 4, 5, 5, 3, 3, 1, 4, 5, 5, 1, 7, 1, 7, 4, 5, 1, 7, 5, 7, 7, 7, 1, 1, 1, 7, 5, 7, 7, 5, 1, 7, 7, 5, 7, 1, 5, 5, 7, 1, 3, 3, 7, 7, 1, 5, 5, 1, 1, 1, 3, 3, 6, 1, 1, 5, 3, 1, 6, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 6, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 0, 3, 5, 1, 5, 5, 1, 5, 0, 0, 5, 5, 1, 5, 0, 1, 5, 0, 5, 5, 1, 7, 5, 1, 1, 5, 5, 5, 1, 7, 5, 1, 1, 5, 1, 7, 7, 5, 5, 7, 7, 0] 
dagM12.txt 3_2x4.txt True 0.48043478260869565 0.6 298.0 [7, 3, 3, 3, 3, 3, 5, 5, 3, 3, 5, 5, 4, 3, 4, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 7, 5, 5, 4, 5, 7, 7, 7, 5, 5, 7, 7, 7, 7, 7, 5, 7, 5, 7, 1, 1, 6, 7, 7, 1, 6, 7, 7, 1, 1, 1, 7, 6, 5, 5, 7, 6, 6, 6, 5, 1, 6, 5, 1, 1, 0, 1, 7, 7, 6, 1, 5, 7, 7, 7, 3, 1, 7, 7, 1, 1, 0, 7, 7, 5, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 3, 2, 3, 1, 7, 3, 3, 3, 1, 2, 1, 3, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 1, 1, 3, 3, 1, 3, 1, 1, 1, 3, 3, 3, 3, 3, 1, 1, 1, 1, 2, 1, 2] 
dagM12.txt 3_2x4.txt True 0.45869565217391306 0.65 268.0 [2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 5, 3, 0, 5, 1, 3, 3, 5, 6, 3, 1, 3, 6, 3, 5, 1, 0, 0, 5, 5, 5, 3, 0, 5, 3, 3, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 0, 1, 1, 7, 7, 1, 7, 1, 7, 7, 7, 5, 7, 7, 7, 7, 7, 1, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 6, 5, 5, 7, 5, 5, 4, 5, 5, 5, 1, 5, 4, 5, 5, 5, 5, 5, 5, 1, 3, 6, 1, 4, 4, 5, 5, 5, 4, 5, 5, 3, 3, 5, 4, 5, 4, 6, 5, 5, 4, 1] 
dagM12.txt 3_2x4.txt True 0.5456521739130434 0.7 274.0 [6, 6, 7, 7, 6, 7, 5, 5, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 5, 1, 7, 5, 5, 7, 5, 7, 7, 4, 1, 1, 7, 5, 7, 1, 7, 4, 1, 5, 5, 7, 1, 4, 5, 1, 5, 7, 5, 1, 5, 5, 5, 5, 1, 3, 3, 5, 1, 5, 5, 5, 5, 3, 5, 3, 4, 1, 5, 1, 5, 1, 4, 5, 4, 2, 1, 5, 3, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 3, 4, 3, 3, 0, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 0, 3, 3, 3, 2, 7, 5, 7, 7, 2, 5, 3, 5, 7, 3, 5, 7, 3, 5, 7, 0, 7, 3, 3, 7, 1, 5, 0, 7, 1, 3, 7, 7, 3, 0, 1, 7, 1, 0, 7, 7, 1, 3] 
dagM12.txt 3_2x4.txt True 0.5565217391304348 0.75 302.0 [2, 3, 3, 5, 3, 3, 3, 3, 3, 3, 5, 2, 3, 3, 1, 5, 2, 3, 3, 5, 5, 3, 3, 5, 3, 1, 0, 3, 5, 1, 0, 2, 1, 1, 5, 1, 5, 1, 0, 3, 1, 3, 1, 1, 3, 5, 0, 1, 3, 7, 0, 1, 1, 6, 1, 3, 1, 7, 0, 3, 1, 1, 5, 3, 1, 1, 3, 0, 7, 0, 3, 6, 5, 6, 6, 1, 1, 7, 5, 5, 7, 6, 5, 3, 7, 5, 5, 7, 7, 7, 1, 5, 7, 7, 7, 7, 6, 1, 7, 1, 1, 1, 7, 7, 1, 7, 6, 5, 7, 4, 1, 1, 7, 5, 1, 1, 6, 5, 5, 5, 5, 5, 5, 7, 1, 5, 5, 5, 1, 4, 7, 5, 1, 5, 5, 7, 7, 7, 5, 5, 4, 7, 5, 7, 7, 5, 7, 7, 4, 4] 
dagM12.txt 3_2x4.txt True 0.6260869565217392 0.8 262.75 [7, 0, 7, 5, 1, 7, 1, 0, 1, 5, 7, 7, 7, 3, 1, 7, 1, 7, 3, 0, 5, 0, 1, 1, 1, 7, 7, 1, 0, 3, 7, 7, 3, 1, 3, 3, 3, 0, 1, 7, 3, 3, 1, 3, 2, 3, 6, 1, 3, 2, 6, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 7, 1, 3, 6, 2, 3, 7, 3, 1, 1, 1, 3, 1, 1, 7, 7, 3, 1, 6, 1, 7, 7, 7, 7, 7, 3, 7, 6, 3, 7, 3, 5, 3, 6, 2, 7, 7, 6, 3, 5, 7, 2, 3, 3, 3, 5, 6, 7, 5, 1, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 7, 5, 5, 5, 4, 5, 5, 4, 3, 7, 5, 7, 5, 5, 4, 5, 4, 5, 4] 
